City_ID,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
145,Trairi,-3.2778,-39.2689,78.33,83,15,11.05,BR,1659310220
146,Mocuba,-16.8392,36.9856,63.05,98,8,1.86,MZ,1659310276
147,Jiménez,28.3333,-105.4,93.16,14,100,15.52,MX,1659310276
148,Twin Falls,42.3505,-114.6445,97.14,15,0,11.5,US,1659310276
149,Ankang,32.68,109.0172,83.52,61,64,3.15,CN,1659310277
150,Fortuna,40.5982,-124.1573,73.92,73,0,9.22,US,1659310273
151,Beyneu,45.3167,55.2,80.35,41,5,8.84,KZ,1659310337
152,Itaporanga,-7.3044,-38.1503,77.95,60,93,8.9,BR,1659310338
153,Lock Haven,41.137,-77.4469,76.95,96,100,1.63,US,1659310338
154,Lipari,38.4674,14.954,80.33,66,0,5.53,IT,1659310338
155,Leh,34.1667,77.5833,59.05,58,45,5.44,IN,1659310339
156,Bluff,-46.6,168.3333,48.79,76,59,15.97,NZ,1659310339
157,La Rioja,42.25,-2.5,62.38,79,0,4.52,ES,1659310340
158,Lagoa,39.05,-27.9833,72.46,74,0,6.8,PT,1659310340
159,Uíge,-7.6087,15.0613,61.03,77,0,2.48,AO,1659310340
160,Labytnangi,66.6572,66.4183,50.83,77,21,5.68,RU,1659310341
161,Roald,62.5833,6.1333,56.16,93,75,2.3,NO,1659310341
162,Hong Kong,22.2855,114.1577,88.25,80,19,4.0,HK,1659310309
163,Brandon,27.9378,-82.2859,94.19,71,68,1.99,US,1659310342
164,Asău,46.4333,26.4,61.72,94,81,5.95,RO,1659310342
165,Antigonish,45.6169,-61.9986,75.38,65,2,5.68,CA,1659310283
166,São Filipe,14.8961,-24.4956,75.87,75,38,6.08,CV,1659310342
167,Konëvo,62.1215,39.3192,49.08,98,12,4.16,RU,1659310343
168,Reconquista,-29.15,-59.65,58.21,59,0,6.73,AR,1659310343
169,Opuwo,-18.0607,13.84,49.5,54,15,6.15,NA,1659310343
170,Wanning,18.8003,110.3967,83.12,78,6,3.53,CN,1659310344
171,Nioro,13.35,-15.75,72.0,94,100,9.42,GM,1659310344
172,Westlock,54.1502,-113.8688,70.39,68,95,6.49,CA,1659310345
173,Manali,13.1667,80.2667,85.06,88,93,8.81,IN,1659310345
174,Klyuchi,52.2667,79.1667,63.18,87,90,5.32,RU,1659310346
175,Suntar,62.1444,117.6319,64.87,90,99,4.38,RU,1659310346
176,Nara,34.6851,135.8049,88.97,51,63,1.32,JP,1659310346
177,Kaitangata,-46.2817,169.8464,45.37,70,15,7.54,NZ,1659310347
178,Hermiston,45.8404,-119.2895,102.22,26,0,5.75,US,1659310068
179,Iquitos,-3.7481,-73.2472,82.44,83,75,4.61,PE,1659310347
180,New Norfolk,-42.7826,147.0587,51.3,85,99,3.0,AU,1659310348
181,The Valley,18.217,-63.0578,84.06,83,40,12.66,AI,1659310348
182,Esmeraldas,-19.7625,-44.3139,72.46,74,52,10.09,BR,1659310348
183,Camaná,-16.6228,-72.7111,59.76,82,59,5.5,PE,1659310349
184,Youkounkoun,12.5333,-13.1333,72.72,98,100,4.54,GN,1659310349
185,Thenzawl,23.3167,92.75,68.47,99,93,1.57,IN,1659310349
186,Horodyshche,49.2849,31.4451,66.83,65,96,8.93,UA,1659310350
187,Savinskiy,62.9342,40.1361,49.55,97,22,4.61,RU,1659310350
188,Aban,56.67,96.06,65.19,90,37,5.35,RU,1659310350
189,Ketchikan,55.3422,-131.6461,63.07,94,100,6.91,US,1659310351
190,Sunndalsøra,62.6754,8.5515,51.21,97,100,3.58,NO,1659310351
191,Avarua,-21.2078,-159.775,78.85,65,20,14.97,CK,1659310352
192,Notsé,6.95,1.1667,71.83,85,100,9.51,TG,1659310352
193,Lavrentiya,65.5833,-171.0,48.81,68,55,4.32,RU,1659310352
194,Yellowknife,62.456,-114.3525,64.92,45,40,6.91,CA,1659310257
195,Anadyr,64.75,177.4833,59.5,54,0,8.95,RU,1659310353
196,Sitka,57.0531,-135.33,57.09,88,100,8.05,US,1659310353
197,Tadine,-21.55,167.8833,73.35,76,98,19.06,NC,1659310353
198,Netanya,32.3329,34.8599,77.02,71,1,2.62,IL,1659310354
199,Amga,60.8953,131.9608,78.62,53,98,6.06,RU,1659310354
200,Kavaratti,10.5669,72.642,80.01,81,100,23.69,IN,1659310355
201,Adrar,20.5022,-10.0711,93.9,32,5,11.92,MR,1659310415
202,Geraldton,-28.7667,114.6,63.01,59,100,21.85,AU,1659310415
203,Honggang,46.4667,124.8667,83.98,73,34,9.51,CN,1659310416
204,Oranjemund,-28.55,16.4333,54.05,50,0,9.62,NA,1659310416
205,Teguise,29.0605,-13.564,70.02,83,40,14.97,ES,1659310417
206,Mazyr,52.0495,29.2456,60.75,80,53,7.83,BY,1659310417
207,Misratah,32.3754,15.0925,81.91,74,0,11.01,LY,1659310417
208,São Borja,-28.6606,-56.0044,53.94,77,0,5.7,BR,1659310417
209,Berlevåg,70.8578,29.0864,57.0,94,71,2.01,NO,1659310418
210,Koumac,-20.5667,164.2833,74.16,65,21,5.57,NC,1659310418
211,Kruisfontein,-34.0033,24.7314,45.09,79,1,6.76,ZA,1659310418
212,Kiruna,67.8557,20.2251,50.92,87,40,5.75,SE,1659310419
213,Moa,20.6569,-74.9403,81.54,84,17,12.21,CU,1659310419
214,Severo-Kuril'sk,50.6789,156.125,54.21,84,96,10.65,RU,1659310419
215,Vestmannaeyjar,63.4427,-20.2734,49.46,75,76,18.14,IS,1659310420
216,Malkerns,-26.5667,31.1833,54.7,85,100,3.53,SZ,1659310420
217,Santa Marta,11.2408,-74.199,89.65,58,40,13.8,CO,1659310421
218,Lucea,18.451,-78.1736,85.86,78,20,13.13,JM,1659310421
219,Aksarka,66.5606,67.7975,49.82,82,35,4.83,RU,1659310421
220,Kieta,-6.2167,155.6333,84.76,69,21,6.02,PG,1659310422
221,Rundu,-17.9333,19.7667,57.0,29,2,5.66,NA,1659310422
222,Kargasok,59.0556,80.8572,51.01,78,100,10.87,RU,1659310161
